Project ID,Planned Cost ($ M),Projected/Actual Cost ($ M)
1310,49.89,49.89
1311,25.29787300000001,25.29787300000001
1312,0.18,0.18
1313,0.18,0.18
1314,0.04,0.04
1315,27.20332,27.203343
1316,6.95,6.95
1317,27.6,27.6
1318,49.06,49.06
1319,40.7,40.7
1320,2.47,2.47
1321,475.44840999999997,488.92801
1322,141.60111,143.56605
1323,272.97931,277.64796
1324,22.5109,22.5109
1325,1.07542,1.07542
1326,27.833240000000004,52.38916
1327,26.15707,26.61484
1328,57.38800000000001,59.06619
1329,5.31502,5.31502
1330,14.7255,14.7255
1331,177.52352,175.85437
1332,6.52776,6.799689999999999
1333,166.37229,172.01358000000005
1334,2.4632,2.4625
1335,0.32038,0.32038
1336,1.6054,0.8258
1337,1.145,1.147269
1342,0.27,0.17
1343,0.971,12.276
1345,6.655,6.568
1346,1.834,1.834
1349,0.136,0.136
1350,0.3,0.3
1351,0.098006,0.098006
1352,0.009000000000000001,0.009000000000000001
1353,1.127,1.127
1354,0.772212,0.770844
1355,0.509041,0.501553
1356,0.318338,0.315985
1357,0.584403,0.584403
1358,0.040479,0.040479
1359,0.159173,0.159173
1360,0.5,0.35100000000000003
1368,5393.849,5837.8985
1374,1.93,1.86047
1375,1.0,1.0
1376,0.515,0.3
1377,1.028,0.745
1378,1.028,0.8009999999999999
1379,2.571,2.184
1380,0.674,0.686959
1381,1.0290000000000001,1.056087
1382,1.5719999999999998,1.048
1383,0.568,0.42200000000000004
1384,0.212,0.212
1385,0.331,0.19399999999999998
1386,0.664,0.6409999999999999
1387,1.0290000000000001,1.0290000000000001
1388,1.0290000000000001,1.0290000000000001
1389,0.515,0.489253
1390,0.336,0.263
1391,0.462,0.374
1392,0.42,0.348
1393,0.63,0.522
1395,1.0869,1.1563
1396,1.22028,1.2042899999999999
1397,4.70754,4.622721
1398,4.282883999999999,4.282883999999999
1399,2.149643,2.140975
1400,1.4138,1.3273
1401,1.2286,1.1182
1402,0.15,0.15
1404,1.8,1.8
1406,0.05,0.05
1408,8.344,8.344
1409,178.74352,178.73998400000005
1411,14.2664,14.2664
1412,0.006,0.00464
1413,0.0035,0.0035770000000000008
1414,0.004,0.004
1415,0.008,0.008
1416,0.6286,0.6286
1417,0.18100000000000002,0.1705
1418,0.141,0.139
1419,0.24,0.24
1420,0.08,0.0585
1423,0.0041,0.0041
1424,1.47448,1.47448
1425,0.6550699999999999,0.6550699999999999
1426,0.2,0.2
1427,0.248,0.248
1428,0.05,0.048654
1429,0.33,0.33
1430,0.02,0.02
1431,16.966566,16.92074
1433,3.466,3.5989999999999998
1435,0.257,0.257
1436,0.855,0.855
1438,1.163,1.163
1439,0.171,0.171
1441,0.125,0.125
1442,0.0336,0.0336
1446,9.538388000000001,9.737094
1448,0.06,0.06000800000000001
1449,32.38812,30.86037
1450,0.0688,0.0688
1451,4.70953,4.383306
1452,0.20800000000000002,0.203728
1455,0.034,0.034
1456,1.2237,1.2237
1457,3.6407,3.6407
1458,1.6192,1.6355
1459,0.7257,0.7062
1460,3.0526,3.0526
1461,3.9842,3.9932
1462,0.0776,0.0776
1463,1.075,1.075
1464,1.9,1.9
1465,0.5,0.2075
1466,2.035,2.035
1467,2.58,1.996
1468,11.0,11.0
1470,0.075,0.075
1471,6.0,5.34
1472,0.175,0.15
1473,0.4,0.4
1474,20.5,19.576
1475,2.52,0.9374
1476,1.0,1.0
1477,1.0,1.0
1478,2.0,2.1579900000000003
1479,0.75,0.6230899999999999
1480,1.25,1.00965
1482,1.0,1.0
1483,63.352,54.629
1484,16.150005,16.146005
1485,21.351,21.348000000000006
1486,1.5000040000000001,1.5000040000000001
1487,3.935,3.9
1488,0.480001,0.480001
1489,17.0,17.0
1490,17.600001000000006,17.600001000000006
1491,0.21899999999999997,0.21600000000000005
1506,4.891678,4.918131
1512,3.0701,3.0701
1513,1.887375,1.887375
1514,30.822916999999997,29.140415
1515,36.431999999999995,35.823
1516,5.007,5.0360000000000005
1517,8.615,8.615
1518,79.962,80.931
1519,6.2920000000000025,6.2920000000000025
1520,10.845999999999998,7.3770000000000024
1521,10.7751,10.728000999999999
1522,5.9299,5.9299
1523,13.168,13.064
1524,0.93,0.93
1530,5.607088,5.758699
1531,4.100924,4.176803
1532,3.9,2.661868
1537,2.25,2.56682
1538,7.572999999999999,6.491417
1539,0.25,0.317912
1540,7.6439,8.111817
1541,0.71912,0.590026
1543,1.53,1.2816
1544,5.965,5.3296
1546,1.015,0.731
1549,6.912999999999999,6.928
1550,1.099,1.099
1551,0.953,1.016
1552,1.2,1.2
1553,0.503,0.503
1559,1.23,1.1166049999999998
1562,1.7748869999999999,1.913888
1563,1.103251,1.049419
1564,2.2094709999999997,2.2094709999999997
1565,1.458727,1.458727
1568,3.859752,4.0377529999999995
1569,2.694501,1.816037
1570,2.679558,1.8410240000000002
1573,2.807357,2.289815
1574,0.29535,0.11535
1576,0.441553,0.441553
1580,6.836,1.198957
1581,1.5219999999999998,0.0
1587,0.325712,0.325712
1588,4.885288,4.885282
1589,4.5280000000000005,4.5280000000000005
1590,8.862,8.862
1593,20.7,20.47
1594,1.3,1.3
1595,3.1260000000000003,3.07
1596,1.026,0.9840000000000001
1597,1.14,1.101
1598,2.222,2.224
1599,2.787,2.767
1600,0.265,0.28300000000000003
1601,3.946,3.8489999999999998
1602,8.761000000000001,8.682
1603,3.207,3.1060000000000003
1604,13.172,12.425
1605,6.002999999999999,5.8020000000000005
1606,8.64,8.657
1607,2.352,2.354
1608,2.3680000000000003,2.276
1609,2.632703,2.5231790000000003
1610,2.291992,2.2949919999999997
1611,6.2139999999999995,6.215
1612,2.5,2.5
1613,6.466,6.466
1614,2.5,2.5
1615,5.0,5.0
1616,9.5,9.5
1617,3.30144,3.30144
1618,1.5217209999999999,1.719277
1619,0.5724520000000001,0.8188350000000001
1620,8.027999999999999,8.027999999999999
1621,12.2758,12.2758
1622,3.0034,3.0033
1623,0.38,0.3934
1624,0.1162,0.1162
1625,0.2625,0.2625
1627,0.5449,0.5449
1628,0.5,0.5
1629,1.173,1.173
1630,0.24100000000000002,0.239
1631,0.036000000000000004,0.024
